epoch,loss,mse,val_loss,val_mse
0,0.6161877512931824,0.6161877512931824,0.7580499649047852,0.7580499649047852
1,0.42227065563201904,0.42227065563201904,0.5002987384796143,0.5002987384796143
2,0.3859405219554901,0.3859405219554901,0.41589224338531494,0.41589224338531494
3,0.3648717701435089,0.3648717701435089,0.34908974170684814,0.34908974170684814
4,0.35384601354599,0.35384601354599,0.40926000475883484,0.40926000475883484
5,0.34411829710006714,0.34411829710006714,0.49530676007270813,0.49530676007270813
6,0.3373677134513855,0.3373677134513855,0.3800557255744934,0.3800557255744934
7,0.33099430799484253,0.33099430799484253,0.33681032061576843,0.33681032061576843
8,0.32524821162223816,0.32524821162223816,0.39330270886421204,0.39330270886421204
9,0.32096555829048157,0.32096555829048157,0.3124808967113495,0.3124808967113495
10,0.3172357976436615,0.3172357976436615,0.3465724587440491,0.3465724587440491
11,0.31372758746147156,0.31372758746147156,0.2927000820636749,0.2927000820636749
12,0.3095521032810211,0.3095521032810211,0.31295695900917053,0.31295695900917053
13,0.30617526173591614,0.30617526173591614,0.7272299528121948,0.7272299528121948
14,0.30605563521385193,0.30605563521385193,0.35661327838897705,0.35661327838897705
15,0.30036258697509766,0.30036258697509766,0.3151176869869232,0.3151176869869232
16,0.298341304063797,0.298341304063797,0.5711532235145569,0.5711532235145569
17,0.2957688570022583,0.2957688570022583,0.2749961018562317,0.2749961018562317
18,0.2929133176803589,0.2929133176803589,0.28261756896972656,0.28261756896972656
19,0.2900789678096771,0.2900789678096771,0.3626556098461151,0.3626556098461151
20,0.28763899207115173,0.28763899207115173,0.27871039509773254,0.27871039509773254
21,0.2853061854839325,0.2853061854839325,0.2824724316596985,0.2824724316596985
22,0.284040242433548,0.284040242433548,0.36023446917533875,0.36023446917533875
23,0.2796306610107422,0.2796306610107422,0.28031089901924133,0.28031089901924133
24,0.27939119935035706,0.27939119935035706,0.36250239610671997,0.36250239610671997
25,0.2776699662208557,0.2776699662208557,0.27711039781570435,0.27711039781570435
26,0.2753669321537018,0.2753669321537018,0.6104411482810974,0.6104411482810974
27,0.27303245663642883,0.27303245663642883,0.3008047640323639,0.3008047640323639
28,0.2710120677947998,0.2710120677947998,0.2988406717777252,0.2988406717777252
29,0.2684527635574341,0.2684527635574341,0.34422045946121216,0.34422045946121216
30,0.2667950689792633,0.2667950689792633,0.28075069189071655,0.28075069189071655
31,0.26597246527671814,0.26597246527671814,0.3565446734428406,0.3565446734428406
32,0.263435035943985,0.263435035943985,0.3978130519390106,0.3978130519390106
